transaction_id,sender_account,receiver_account,amount,timestamp,is_suspicious
T0122,A024,A028,792.74,2026-01-16T00:39:00,0
T0123,A040,A021,6667.54,2026-01-06T16:07:00,0
T0124,A047,A020,5120.51,2026-01-19T14:04:00,0
T0125,A021,A026,7002.36,2026-01-26T05:33:00,0
T0126,A009,A013,4262.42,2026-01-18T06:07:00,0
T0127,A044,A048,9037.77,2026-01-29T00:18:00,0
T0128,A037,A020,4120.14,2026-01-01T00:26:00,0
T0129,A020,A019,2180.81,2026-01-27T09:29:00,0
T0130,A039,A042,3290.27,2026-01-21T02:32:00,0
T0131,A029,A044,2215.64,2026-01-22T12:50:00,0
T0132,A048,A011,6622.62,2026-01-13T21:58:00,0
T0133,A033,A043,6366.11,2026-01-16T06:06:00,0
T0134,A006,A049,2425.2,2026-01-15T03:03:00,0
T0135,A015,A013,1558.8,2026-01-03T02:28:00,0
T0136,A016,A031,6151.61,2026-01-04T07:32:00,0
T0137,A030,A027,8872.76,2026-01-27T04:47:00,0
T0138,A013,A046,6993.91,2026-01-23T11:59:00,0
T0139,A026,A016,1560.96,2026-01-01T06:03:00,0
T0140,A049,A050,8866.11,2026-01-20T08:22:00,0
T0141,A015,A012,8060.69,2026-01-24T13:44:00,0
T0142,A030,A004,5618.32,2026-01-06T12:33:00,0
T0143,A030,A009,8034.02,2026-01-25T04:08:00,0
T0144,A036,A039,3241.25,2026-01-21T03:24:00,0
T0145,A040,A047,8931.0,2026-01-20T10:06:00,0
T0146,A036,A029,8982.36,2026-01-22T14:28:00,0
T0147,A029,A017,7542.59,2026-01-30T00:29:00,0
T0148,A018,A050,7798.98,2026-01-23T01:18:00,0
T0149,A041,A016,2818.51,2026-01-04T12:37:00,0
T0150,A046,A019,2421.49,2026-01-16T06:50:00,0
T0151,A021,A035,897.72,2026-01-07T20:44:00,0
T0152,A015,A025,6970.1,2026-01-10T17:41:00,0
T0153,A005,A027,4135.23,2026-01-25T16:40:00,0
T0154,A030,A027,716.43,2026-01-20T02:54:00,0
T0155,A025,A050,5882.39,2026-01-01T21:20:00,0
T0156,A049,A037,3865.77,2026-01-01T06:26:00,0
T0157,A023,A020,7559.4,2026-01-20T01:40:00,0
T0158,A035,A048,7372.88,2026-01-28T10:54:00,0
T0159,A015,A032,2272.27,2026-01-20T20:02:00,0
T0160,A032,A002,3949.69,2026-01-19T09:37:00,0
T0161,A047,A011,8421.01,2026-01-06T19:24:00,0
T0162,A040,A035,366.97,2026-01-18T22:22:00,0
T0163,A038,A037,6663.7,2026-01-04T19:41:00,0
T0164,A042,A028,1443.42,2026-01-22T00:17:00,0
T0165,A012,A004,2675.55,2026-01-15T21:33:00,0
T0166,A014,A030,3335.77,2026-01-18T06:06:00,0
T0167,A018,A049,9516.92,2026-01-20T04:27:00,0
T0168,A017,A006,4756.04,2026-01-25T13:11:00,0
T0169,A004,A023,2319.8,2026-01-04T02:56:00,0
T0170,A050,A042,498.56,2026-01-02T09:53:00,0
T0171,A016,A013,8408.37,2026-01-29T06:39:00,0
T0172,A010,A016,1349.59,2026-01-06T04:56:00,0
T0173,A037,A014,4703.84,2026-01-12T15:53:00,0
T0174,A050,A024,1761.11,2026-01-28T15:16:00,0
T0175,A048,A046,1233.88,2026-01-08T10:52:00,0
T0176,A020,A007,5828.98,2026-01-15T04:44:00,0
T0177,A037,A044,9089.46,2026-01-18T01:56:00,0
T0178,A026,A046,2063.46,2026-01-27T22:43:00,0
T0179,A045,A041,2504.21,2026-01-14T17:24:00,0
T0180,A044,A039,8074.73,2026-01-26T18:08:00,0
T0181,A003,A023,5374.18,2026-01-17T20:45:00,0
T0182,A005,A033,6510.68,2026-01-01T13:49:00,0
T0183,A027,A032,1144.83,2026-01-17T11:36:00,0
T0184,A041,A030,7102.36,2026-01-20T19:40:00,0
T0185,A012,A047,5265.29,2026-01-30T14:28:00,0
T0186,A018,A040,8101.17,2026-01-25T11:49:00,0
T0187,A050,A031,4702.25,2026-01-27T23:08:00,0
T0188,A018,A021,8531.96,2026-01-04T22:39:00,0
T0189,A018,A029,2514.25,2026-01-22T03:35:00,0
T0190,A037,A040,6715.07,2026-01-16T07:26:00,0
T0191,A002,A032,8524.43,2026-01-09T06:37:00,0
T0192,A032,A014,3612.77,2026-01-12T18:11:00,0
T0193,A022,A018,8815.17,2026-01-13T13:45:00,0
T0194,A036,A001,5214.61,2026-01-09T16:41:00,0
T0195,A006,A016,7228.74,2026-01-23T05:39:00,0
T0196,A036,A049,2479.21,2026-01-22T16:01:00,0
T0197,A042,A046,4959.13,2026-01-01T18:50:00,0
T0198,A006,A019,2293.8,2026-01-12T01:45:00,0
T0199,A020,A043,5857.4,2026-01-22T12:55:00,0
T0200,A036,A034,3503.2,2026-01-26T01:10:00,0
T0201,A022,A023,7058.26,2026-01-13T07:54:00,0
T0202,A020,A017,2382.33,2026-01-09T18:21:00,0
T0203,A021,A008,7454.52,2026-01-09T10:13:00,0
T0204,A013,A014,7412.19,2026-01-13T14:00:00,0
T0205,A047,A038,9768.41,2026-01-24T21:02:00,0
T0206,A039,A019,9807.06,2026-01-09T20:01:00,0
T0207,A019,A015,3672.72,2026-01-14T18:09:00,0
T0208,A001,A046,5387.94,2026-01-13T11:37:00,0
T0209,A003,A004,5578.25,2026-01-06T17:55:00,0
T0210,A041,A049,4959.7,2026-01-01T13:23:00,0
T0211,A037,A019,4747.03,2026-01-21T01:06:00,0
T0212,A022,A012,9658.43,2026-01-12T11:46:00,0
T0213,A031,A008,8238.94,2026-01-19T05:40:00,0
T0214,A032,A005,5812.51,2026-01-03T10:33:00,0
T0215,A010,A037,9496.34,2026-01-04T21:02:00,0
T0216,A016,A008,5624.92,2026-01-19T22:34:00,0
T0217,A039,A040,2334.3,2026-01-24T18:47:00,0
T0218,A025,A029,9094.19,2026-01-14T12:47:00,0
T0219,A038,A028,3123.26,2026-01-29T06:19:00,0
T0220,A004,A040,9605.08,2026-01-05T12:23:00,0
T0221,A049,A014,6292.6,2026-01-13T01:03:00,0
T0222,A043,A006,1654.87,2026-01-08T21:51:00,0
T0223,A036,A005,1649.67,2026-01-19T14:12:00,0
T0224,A029,A045,5978.73,2026-01-14T06:07:00,0
T0225,A003,A015,2952.24,2026-01-13T20:48:00,0
T0226,A045,A030,804.68,2026-01-11T14:57:00,0
T0227,A017,A041,5938.92,2026-01-10T00:04:00,0
T0228,A028,A008,5491.17,2026-01-30T11:23:00,0
T0229,A010,A018,8283.65,2026-01-04T05:59:00,0
T0230,A004,A011,7947.02,2026-01-28T01:56:00,0
T0231,A048,A037,9219.81,2026-01-20T23:40:00,0
T0232,A008,A030,6917.91,2026-01-19T07:38:00,0
T0233,A018,A033,5445.82,2026-01-20T22:08:00,0
T0234,A006,A039,494.62,2026-01-20T15:53:00,0
T0235,A048,A021,6076.77,2026-01-02T04:15:00,0
T0236,A006,A015,9622.92,2026-01-27T04:16:00,0
T0237,A038,A002,9995.77,2026-01-13T06:22:00,0
T0238,A037,A003,7654.78,2026-01-08T23:21:00,0
T0239,A031,A034,6549.94,2026-01-13T15:49:00,0
T0240,A012,A038,4415.26,2026-01-23T09:05:00,0
T0241,A006,A031,3544.81,2026-01-16T04:03:00,0
T0242,A021,A043,1135.54,2026-01-08T07:39:00,0
T0243,A022,A027,6967.37,2026-01-14T02:48:00,0
T0244,A043,A026,8154.3,2026-01-26T00:51:00,0
T0245,A003,A030,971.79,2026-01-12T11:41:00,0
T0246,A021,A008,9704.83,2026-01-19T09:28:00,0
T0247,A033,A001,6610.84,2026-01-25T16:39:00,0
T0248,A030,A027,636.62,2026-01-24T14:16:00,0
T0249,A024,A040,7588.79,2026-01-29T11:06:00,0
T0250,A029,A049,610.96,2026-01-13T03:41:00,0
T0251,A036,A009,9283.96,2026-01-20T22:32:00,0
T0252,A045,A032,1302.12,2026-01-29T16:09:00,0
T0253,A039,A016,7126.85,2026-01-15T03:25:00,0
T0254,A036,A001,5567.29,2026-01-05T05:48:00,0
T0255,A015,A008,4668.33,2026-01-06T08:18:00,0
T0256,A042,A010,5033.92,2026-01-14T06:47:00,0
T0257,A033,A046,2806.91,2026-01-22T23:01:00,0
T0258,A031,A016,4622.19,2026-01-07T13:59:00,0
T0259,A025,A013,9226.49,2026-01-24T03:08:00,0
T0260,A048,A009,8653.87,2026-01-13T13:44:00,0
T0261,A050,A027,3464.76,2026-01-24T02:35:00,0
T0262,A018,A001,2900.11,2026-01-14T14:06:00,0
T0263,A038,A043,4947.44,2026-01-07T18:18:00,0
T0264,A029,A035,4894.98,2026-01-16T03:06:00,0
T0265,A036,A049,5479.96,2026-01-21T17:21:00,0
T0266,A021,A013,9809.67,2026-01-11T20:50:00,0
T0267,A037,A025,2412.27,2026-01-19T16:40:00,0
T0268,A003,A021,7472.58,2026-01-18T08:24:00,0
T0269,A025,A043,7944.7,2026-01-30T16:10:00,0
T0270,A010,A032,9651.76,2026-01-06T17:53:00,0
T0271,A033,A038,3386.75,2026-01-05T13:37:00,0
T0272,A029,A007,5306.92,2026-01-21T19:05:00,0
T0273,A001,A047,1527.14,2026-01-30T19:11:00,0
T0274,A010,A005,4747.96,2026-01-13T01:28:00,0
T0275,A022,A040,6957.78,2026-01-30T13:47:00,0
T0276,A006,A022,8538.18,2026-01-25T06:51:00,0
T0277,A025,A021,6305.31,2026-01-23T04:58:00,0
T0278,A035,A003,6212.85,2026-01-11T16:25:00,0
T0279,A041,A044,9217.2,2026-01-11T08:28:00,0
T0280,A048,A006,4396.32,2026-01-05T11:31:00,0
T0281,A049,A041,7068.52,2026-01-05T13:46:00,0
T0282,A029,A011,6970.61,2026-01-02T07:37:00,0
T0283,A003,A021,7981.82,2026-01-14T08:26:00,0
T0284,A023,A024,4363.8,2026-01-12T02:43:00,0
T0285,A034,A027,5702.69,2026-01-09T04:40:00,0
T0286,A011,A012,881.79,2026-01-18T09:50:00,0
T0287,A040,A044,2484.21,2026-01-27T12:57:00,0
T0288,A010,A015,4665.38,2026-01-12T13:24:00,0
T0289,A030,A017,6701.72,2026-01-22T04:10:00,0
T0290,A019,A044,5511.32,2026-01-04T08:40:00,0
T0291,A029,A023,9877.75,2026-01-14T14:45:00,0
T0292,A041,A028,6934.1,2026-01-21T18:59:00,0
T0293,A020,A013,9993.8,2026-01-22T23:47:00,0
T0294,A007,A016,3875.51,2026-01-17T08:04:00,0
T0295,A037,A019,9927.65,2026-01-14T10:28:00,0
T0296,A002,A043,4018.48,2026-01-01T08:50:00,0
T0297,A037,A044,7805.28,2026-01-03T05:34:00,0
T0298,A039,A048,5017.6,2026-01-14T00:36:00,0
T0299,A050,A015,6109.94,2026-01-17T00:49:00,0
T0300,A015,A041,1982.31,2026-01-12T09:45:00,0
S0001,A044,A049,24887.72,2026-01-15T00:00:00,1
S0002,A049,A047,27575.06,2026-01-15T00:10:00,1
S0003,A047,A050,24423.72,2026-01-15T00:20:00,1
S0004,A050,A044,28551.06,2026-01-15T00:30:00,1
S0005,A044,A049,24695.11,2026-01-15T00:40:00,1
S0006,A049,A047,19633.99,2026-01-15T00:50:00,1
S0007,A047,A050,21612.35,2026-01-15T01:00:00,1
S0008,A050,A044,23693.61,2026-01-15T01:10:00,1
S0009,A044,A049,25985.4,2026-01-15T01:20:00,1
S0010,A049,A047,16352.0,2026-01-15T01:30:00,1
